Country Name,Year,Period,PC1,PC2,Hierarchical Cluster,explained_variance_pc1,explained_variance_pc2
Nepal,2019,Pre-COVID,5.217261962172184,0.18690504919412412,0,0.29043237373187875,0.14156282426463515
Netherlands,2019,Pre-COVID,-2.9857895164384263,0.3691269914890221,1,0.29043237373187875,0.14156282426463515
New Zealand,2019,Pre-COVID,-2.069821478575781,-1.5966269607273924,1,0.29043237373187875,0.14156282426463515
Nicaragua,2019,Pre-COVID,0.08800678675721628,-0.7726695069940795,1,0.29043237373187875,0.14156282426463515
Niger,2019,Pre-COVID,4.314339158648709,0.35843682172455965,0,0.29043237373187875,0.14156282426463515
North Macedonia,2019,Pre-COVID,-0.6019106039104963,0.5374186384365682,0,0.29043237373187875,0.14156282426463515
Norway,2019,Pre-COVID,-2.979667032893227,-1.6280924767076275,1,0.29043237373187875,0.14156282426463515
Oman,2019,Pre-COVID,-1.3789174661168313,-0.2546070473502118,1,0.29043237373187875,0.14156282426463515
Panama,2019,Pre-COVID,-0.7286271515121504,-0.35331494175217465,1,0.29043237373187875,0.14156282426463515
Paraguay,2019,Pre-COVID,0.5164323236827945,-0.48231672237723067,1,0.29043237373187875,0.14156282426463515
Peru,2019,Pre-COVID,0.3983459097721978,-0.7028977796079793,1,0.29043237373187875,0.14156282426463515
Philippines,2019,Pre-COVID,1.6791161126141856,0.7300998295252515,0,0.29043237373187875,0.14156282426463515
Poland,2019,Pre-COVID,-1.2215583504451206,0.12396397821123958,1,0.29043237373187875,0.14156282426463515
Portugal,2019,Pre-COVID,-1.7720327209090918,-0.9418377222371332,1,0.29043237373187875,0.14156282426463515
Qatar,2019,Pre-COVID,-1.1998593751218494,0.6353536250696734,1,0.29043237373187875,0.14156282426463515
Romania,2019,Pre-COVID,-1.0103853539787573,-0.15647419446862232,1,0.29043237373187875,0.14156282426463515
Russian Federation,2019,Pre-COVID,-0.38962648313077475,-0.881860846891319,1,0.29043237373187875,0.14156282426463515
Samoa,2019,Pre-COVID,0.09236589888721336,-0.2755549924988766,0,0.29043237373187875,0.14156282426463515
Saudi Arabia,2019,Pre-COVID,-0.6037149504343033,-0.8702896738538157,1,0.29043237373187875,0.14156282426463515
Senegal,2019,Pre-COVID,3.3291341576869886,0.7575172028956351,0,0.29043237373187875,0.14156282426463515
Serbia,2019,Pre-COVID,-0.5382695432430152,-0.057900336688167006,0,0.29043237373187875,0.14156282426463515
Sierra Leone,2019,Pre-COVID,4.881908350026473,-0.8244363058235218,0,0.29043237373187875,0.14156282426463515
Singapore,2019,Pre-COVID,-3.4962974768631874,8.42740112524029,2,0.29043237373187875,0.14156282426463515
Slovak Republic,2019,Pre-COVID,-2.544507213336392,1.2795133927956333,1,0.29043237373187875,0.14156282426463515
Slovenia,2019,Pre-COVID,-2.4188732888766906,0.739491762540228,1,0.29043237373187875,0.14156282426463515
South Africa,2019,Pre-COVID,-1.2474562216155338,-2.4978163545736187,1,0.29043237373187875,0.14156282426463515
Spain,2019,Pre-COVID,-2.1405870857335896,-1.7806488219285384,1,0.29043237373187875,0.14156282426463515
Sri Lanka,2019,Pre-COVID,1.585331693907419,-0.06297997036630686,1,0.29043237373187875,0.14156282426463515
Sweden,2019,Pre-COVID,-3.421130931217447,-1.5048684203389497,1,0.29043237373187875,0.14156282426463515
Switzerland,2019,Pre-COVID,-1.5688706608431398,0.2511110554495489,1,0.29043237373187875,0.14156282426463515
Tanzania,2019,Pre-COVID,3.446939729154718,0.3216970718608278,0,0.29043237373187875,0.14156282426463515
Thailand,2019,Pre-COVID,-0.18243783097057056,0.9083566280072756,1,0.29043237373187875,0.14156282426463515
Timor-Leste,2019,Pre-COVID,2.3247547458490088,0.7707586706180941,0,0.29043237373187875,0.14156282426463515
Togo,2019,Pre-COVID,4.18402331576501,0.1620760731618637,0,0.29043237373187875,0.14156282426463515
Tonga,2019,Pre-COVID,2.2303254661498864,0.2956404873799455,0,0.29043237373187875,0.14156282426463515
Turkiye,2019,Pre-COVID,-0.29494313283781226,-0.9282548285624448,1,0.29043237373187875,0.14156282426463515
Ukraine,2019,Pre-COVID,0.4331043415757902,-0.18651777619515938,0,0.29043237373187875,0.14156282426463515
United Kingdom,2019,Pre-COVID,-2.9917312251242687,-1.7146866875565976,1,0.29043237373187875,0.14156282426463515
United States,2019,Pre-COVID,-2.708550352193384,-2.98231571374142,1,0.29043237373187875,0.14156282426463515
Uruguay,2019,Pre-COVID,-1.4628111119262,-2.042997300690816,1,0.29043237373187875,0.14156282426463515
Uzbekistan,2019,Pre-COVID,3.3189364498430143,0.7351675242709143,0,0.29043237373187875,0.14156282426463515
Viet Nam,2019,Pre-COVID,1.5130377145991347,2.6872309850091542,0,0.29043237373187875,0.14156282426463515
Zimbabwe,2019,Pre-COVID,1.9256139575851485,-0.6857762895940901,1,0.29043237373187875,0.14156282426463515
