Country Name,Country Code,Year,"Agriculture, forestry, and fishing, value added (% of GDP)",Current health expenditure (% of GDP),Domestic general government health expenditure (% of GDP),Domestic general government health expenditure (% of current health expenditure),Domestic private health expenditure (% of current health expenditure),Exports of goods and services (% of GDP),"Foreign direct investment, net inflows (% of GDP)",GDP growth (annual %),Gross capital formation (% of GDP),Imports of goods and services (% of GDP),"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Manufacturing, value added (% of GDP)","Personal remittances, received (% of GDP)",Population density (people per sq. km of land area),"School enrollment, primary (% gross)","Self-employed, total (% of total employment) (modeled ILO estimate)","Services, value added (% of GDP)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
Cote d'Ivoire,CIV,2019,15.68820636,3.21496511,0.97108036,30.20500565,56.79614258,22.66048876504519,1.4058304817904856,6.721371675849781,21.989938495440363,21.999921818034274,66.19,12.319968428731585,0.5436811431367543,88.65726101,93.54521942,73.99556948,54.99747689328611,2.401
Cote d'Ivoire,CIV,2020,16.933415476894368,3.62587261,1.33278406,36.75761032,49.698349,20.99346848429969,1.1311124570315438,0.6997285934942283,21.742893410460074,20.949163334752928,66.358,12.051943398124756,0.5222256853018734,90.92908490566036,94.16091156,74.6585569,55.57281213519507,2.584
Cote d'Ivoire,CIV,2021,16.180552963013543,3.13269377,1.02933276,32.85775375,51.69826889,22.29626784,1.9128265589202824,7.063329102052322,23.57531706888564,22.817764939303306,67.718,13.397081501932067,0.6047068780492127,93.20671698113208,92.71938324,74.5935829,54.100032900751586,2.63
Croatia,HRV,2019,2.856814031929087,6.8,5.55,81.54,18.45,50.489235052366475,6.472771769416777,3.100439114437578,21.961727238716595,50.89277827796135,66.662,11.99404313749384,6.965996535294976,70.57018797798585,99.00151062,14.75148772,59.16782359854582,6.617
Croatia,HRV,2020,3.128443478443857,7.72,6.32,81.78,18.22,41.27703158381738,2.5391043998271847,-8.311642579,23.547682328779775,48.256422217077365,67.236,12.155516433586673,7.237007384016477,69.9464975,99.48867035,14.41098847,59.54210913205373,7.507
Croatia,HRV,2021,3.3595172427380104,8.1,6.81,84.1,15.89,49.779705373411105,7.427067576708316,12.631700327771185,21.797545380286543,52.528725442424786,68.805,11.657094325684843,7.222240466027298,69.31703002144388,99.74414825,14.71144999,59.05134260187893,7.608
Cyprus,CYP,2019,1.748205428742045,7.07,3.83,54.16,45.16,75.75886760372079,201.6849973122473,5.8755912300326685,19.494168888024344,74.74730195744138,76.865,5.406328333145448,2.0440030477165747,139.25010822510822,100.4776993,13.65310819,73.28571427350472,7.155
Cyprus,CYP,2020,1.8253356919424548,8.41,6.31,75.1,24.66,79.64725271768498,-101.8331021,-3.220634336,20.651460437502383,81.02146374228457,76.712,5.631417653222064,2.2212522315619223,140.9358225108225,100.7351608,13.78227584,74.55719986173013,7.755
Cyprus,CYP,2021,1.5024912497362255,9.43,7.99,84.7,14.35,90.75714046562857,25.43010684064661,11.38776335519998,19.87601442,86.06924673880533,77.563,4.987994002978884,2.064697177705876,142.5659090909091,99.10281372,11.85204128,75.78975893496917,7.513
Czechia,CZE,2019,1.8915177090881117,7.60336018,6.43771982,84.66940308,15.33059788,72.12485113864818,4.187057376190054,3.565776572048435,26.17185065587297,66.02975886,76.561,22.126676616511592,1.5031246635292264,138.22681026610798,99.28330231,16.80096722,57.80534429,2.015
Czechia,CZE,2020,1.9439913882530089,9.2136879,8.05650425,87.44061279,12.55939102,67.76097323447348,3.3911406622646902,-5.304879546,24.73020518098017,61.01945707149129,76.198,20.796823371682876,1.666923796631616,138.57592884216837,99.78453064,16.88612763,59.582129870058566,2.55
Czechia,CZE,2021,1.7588666649227818,9.4887867,8.17704678,86.17588806,13.82410717,70.55004514284401,4.430295245861996,4.029018306338543,28.128533844450203,66.82807116002445,76.497,19.640981617072953,1.507655382942703,136.10834905384766,101.6778412,15.95074667,60.866552362924686,2.803
Denmark,DNK,2019,1.2412274116914404,10.15,8.5,83.71,16.29,58.95060791671669,-1.100670983,1.7114009439059004,21.885999875019355,52.94086714893586,79.043,13.402427865920185,0.4196968811951924,145.36055,100.5510025,8.33875175,65.15634999101432,5.018
Denmark,DNK,2020,1.3375200866845138,10.56,8.95,84.76,15.24,55.03689732445144,0.3638745386822198,-1.780105988,22.76265325550548,49.39653534669994,78.921,12.837108733560592,0.3745951363462646,145.7851,100.4595871,8.523967236,65.98643867068907,5.637
Denmark,DNK,2021,0.9894998856898856,10.82,9.22,85.21,14.79,58.825423780455424,4.162143451854723,7.382066289775551,23.60200216913368,52.58861990234356,79.583,12.739780527033748,0.3459727590598684,146.418325,100.3084183,8.676680229,66.39929921510527,5.043
Dominican Republic,DOM,2019,5.227288926215819,4.23948717,2.59220481,61.14430237,37.68410492,23.06928204129234,3.1809718229246045,5.052168020162526,26.004823506775704,27.941862879663365,68.788,13.758802906570708,8.343248801,226.02677454385056,112.3336105,41.7691577,58.29482069141157,6.356
Dominican Republic,DOM,2020,6.041477525322516,4.93998051,3.24332738,65.65466309,33.54745483,18.295697159593235,3.1208202502581934,-6.720239373,25.38303638706589,25.997959392874275,63.742,14.445059421692449,10.567108021235132,228.3973491027225,105.9252396,43.11370967,57.20424515852138,6.126
Dominican Republic,DOM,2021,5.665782146,4.91815567,3.28691697,66.83230591,31.63858032,21.752702080816658,3.554306272981532,12.271990234789598,31.352092602899273,30.982164987188447,67.128,15.159889985297797,11.39899138113443,230.78699083489323,96.87046051,43.86430682,54.62967475417947,7.702
Ecuador,ECU,2019,7.786764670961362,7.77070522,4.8712554,62.68743134,37.25939178,24.048634822080324,0.9102429948683484,0.1654035326466925,21.04923323747057,24.03421511813437,69.138,12.678484962460765,3.0137639600816497,69.81809067482686,98.35057831,51.31661318,59.43711535509429,3.812
Ecuador,ECU,2020,8.385748103,8.35889626,5.07644606,60.7310524,39.110466,23.28356240711984,1.153964902779616,-9.245096377,17.58491315830584,20.70575003271251,63.349,12.941812877111792,3.4879045539252447,70.64770897084877,98.1471405,54.3460529,61.32117202740106,6.127
Ecuador,ECU,2021,7.997849790265474,8.28661728,5.27873421,63.70191956,35.86661148,27.00470956880284,0.6036827302157859,9.818417748417003,20.97264189289495,26.146489125560556,68.302,13.150555887688888,4.0651907430032015,71.19686745047511,98.20591736,54.17618808,58.46906869,4.552
"Egypt, Arab Rep.",EGY,2019,10.697135436025732,4.5994668,1.29722774,28.20387077,70.75879669,16.644031451036454,2.8273294496068617,5.5520930715695584,20.05360972122945,24.479985704074338,44.561,15.98829899213724,8.403884631879913,108.04476166557838,97.81710815,28.90006853,50.76175211054307,7.851
"Egypt, Arab Rep.",EGY,2020,11.166823897214186,4.15384626,1.32617092,31.92633438,66.95245361,12.47277573708676,1.5246294899717194,3.5501648378683797,15.994863959951893,19.653479829665507,44.021,16.380455994213825,7.712747245067127,109.81478125470892,98.89639282,27.35550071,52.02710888707555,7.974
"Egypt, Arab Rep.",EGY,2021,11.436932613948462,4.60955143,1.73679698,37.67822266,61.69075012,10.56115021536522,1.2061786105566477,3.2906460120221084,15.171616814996025,19.295823265447016,45.534,15.485283900665006,7.414432171211597,111.46416997337889,99.75010681,27.41938114,52.47730499068016,7.441
El Salvador,SLV,2019,5.146433521792602,8.80846119,4.71487188,53.52661896,46.47054291,29.95590960800026,2.5902436904043764,2.437471590657836,18.344794900811497,46.08610349114658,63.669,15.558677942974144,21.04358006856108,300.3049227799228,92.26983643,39.13705343,59.96568597909167,4.17
El Salvador,SLV,2020,5.354800473,9.08151054,5.88103342,64.75831604,34.96681595,24.526798278894383,1.551019986113428,-7.89310136,17.211617904281457,41.932708670813874,60.396,14.740427724358268,23.80027955571042,300.9012065637066,90.99665833,38.82261047,61.462233545027345,5.008
El Salvador,SLV,2021,4.812255148720145,9.71643353,6.40300608,65.89872742,33.83823776,28.78149538927265,2.7560499827497953,11.904761701595676,23.35491272637876,53.06358059080388,62.963,15.069307244326888,26.245249508924275,301.9199806949807,89.39743805,36.82908245,60.18474586425573,4.327
Estonia,EST,2019,2.2656489626340037,6.81699181,5.069736,74.36911011,25.6101284,72.01915435491976,9.768193646469816,3.7266531817839734,26.356088071313977,68.33299364362885,78.338,12.880324126846729,1.7001929947830403,31.03854970760234,98.15772247,10.41371627,62.32170110047874,4.514
Estonia,EST,2020,1.9318152735340803,7.57906532,5.83760357,77.0227356,22.95885277,68.15455340586762,12.014775285570302,-2.883810041,29.657720267017584,69.23808788,78.626,12.591785813342184,1.5928179136491138,31.099929824561404,98.34667206,10.71489949,63.950788550274915,6.956
