Country Name,Mobility Type,Average Peer Retention,Pre-COVID to Early COVID Peer Jaccard,Early COVID to Mid-COVID Peer Jaccard,Pre-COVID to Mid-COVID Peer Jaccard,Pre-COVID,Early COVID,Mid-COVID
Togo,moderate mobility,0.5059849185658621,0.6363636363636364,0.43478260869565216,0.44680851063829785,0,1,3
Uzbekistan,moderate mobility,0.5059849185658621,0.6363636363636364,0.43478260869565216,0.44680851063829785,0,1,3
Australia,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
Austria,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
Belgium,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
Costa Rica,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
Croatia,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
Czechia,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
Denmark,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
Estonia,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
Finland,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
France,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
Germany,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
Greece,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
Hungary,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
Iceland,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
Ireland,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
Israel,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
Italy,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
Japan,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
Latvia,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
Lithuania,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
Netherlands,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
New Zealand,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
Norway,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
Portugal,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
Slovak Republic,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
Slovenia,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
Spain,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
Sweden,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
Switzerland,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
United Kingdom,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
United States,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
Uruguay,moderate mobility,0.5581783390738615,0.72,0.47761194029850745,0.47692307692307695,1,0,2
Malta,persistent mover,0.49999999999999994,0.6666666666666666,0.5,0.3333333333333333,2,2,1
Singapore,persistent mover,0.49999999999999994,0.6666666666666666,0.5,0.3333333333333333,2,2,1
